seat_count,customer_id,name,accountId
9,cust_00059,Account 00059,acct_00059
12,cust_00060,Account 00060,acct_00060
6,cust_00061,Account 00061,acct_00061
10,cust_00062,Account 00062,acct_00062
4,cust_00063,Account 00063,acct_00063
9,cust_00064,Account 00064,acct_00064
4,cust_00065,Account 00065,acct_00065
6,cust_00066,Account 00066,acct_00066
9,cust_00067,Account 00067,acct_00067
5,cust_00068,Account 00068,acct_00068
12,cust_00069,Account 00069,acct_00069
7,cust_00070,Account 00070,acct_00070
5,cust_00071,Account 00071,acct_00071
12,cust_00072,Account 00072,acct_00072
9,cust_00073,Account 00073,acct_00073
7,cust_00074,Account 00074,acct_00074
3,cust_00075,Account 00075,acct_00075
7,cust_00076,Account 00076,acct_00076
12,cust_00077,Account 00077,acct_00077
9,cust_00078,Account 00078,acct_00078
6,cust_00079,Account 00079,acct_00079
12,cust_00080,Account 00080,acct_00080
7,cust_00081,Account 00081,acct_00081
5,cust_00082,Account 00082,acct_00082
8,cust_00083,Account 00083,acct_00083
10,cust_00084,Account 00084,acct_00084
9,cust_00085,Account 00085,acct_00085
9,cust_00086,Account 00086,acct_00086
11,cust_00087,Account 00087,acct_00087
9,cust_00088,Account 00088,acct_00088
12,cust_00089,Account 00089,acct_00089
11,cust_00090,Account 00090,acct_00090
4,cust_00091,Account 00091,acct_00091
4,cust_00092,Account 00092,acct_00092
6,cust_00093,Account 00093,acct_00093
6,cust_00094,Account 00094,acct_00094
9,cust_00095,Account 00095,acct_00095
7,cust_00096,Account 00096,acct_00096
3,cust_00097,Account 00097,acct_00097
12,cust_00098,Account 00098,acct_00098
8,cust_00099,Account 00099,acct_00099
10,cust_00100,Account 00100,acct_00100
3,cust_00101,Account 00101,acct_00101
10,cust_00102,Account 00102,acct_00102
3,cust_00103,Account 00103,acct_00103
10,cust_00104,Account 00104,acct_00104
12,cust_00105,Account 00105,acct_00105
10,cust_00106,Account 00106,acct_00106
9,cust_00107,Account 00107,acct_00107
7,cust_00108,Account 00108,acct_00108
8,cust_00109,Account 00109,acct_00109
8,cust_00110,Account 00110,acct_00110
7,cust_00111,Account 00111,acct_00111
4,cust_00112,Account 00112,acct_00112
8,cust_00113,Account 00113,acct_00113
11,cust_00114,Account 00114,acct_00114
9,cust_00115,Account 00115,acct_00115
12,cust_00116,Account 00116,acct_00116
10,cust_00117,Account 00117,acct_00117
6,cust_00118,Account 00118,acct_00118
11,cust_00119,Account 00119,acct_00119
5,cust_00120,Account 00120,acct_00120
4,cust_00121,Account 00121,acct_00121
10,cust_00122,Account 00122,acct_00122
6,cust_00123,Account 00123,acct_00123
5,cust_00124,Account 00124,acct_00124
8,cust_00125,Account 00125,acct_00125
9,cust_00126,Account 00126,acct_00126
8,cust_00127,Account 00127,acct_00127
10,cust_00128,Account 00128,acct_00128
6,cust_00129,Account 00129,acct_00129
11,cust_00130,Account 00130,acct_00130
11,cust_00131,Account 00131,acct_00131
3,cust_00132,Account 00132,acct_00132
5,cust_00133,Account 00133,acct_00133
8,cust_00134,Account 00134,acct_00134
4,cust_00135,Account 00135,acct_00135
6,cust_00136,Account 00136,acct_00136
10,cust_00137,Account 00137,acct_00137
7,cust_00138,Account 00138,acct_00138
7,cust_00139,Account 00139,acct_00139
10,cust_00140,Account 00140,acct_00140
12,cust_00141,Account 00141,acct_00141
12,cust_00142,Account 00142,acct_00142
6,cust_00143,Account 00143,acct_00143
3,cust_00144,Account 00144,acct_00144
7,cust_00145,Account 00145,acct_00145
7,cust_00146,Account 00146,acct_00146
10,cust_00147,Account 00147,acct_00147
3,cust_00148,Account 00148,acct_00148
10,cust_00149,Account 00149,acct_00149
9,cust_00150,Account 00150,acct_00150
4,cust_00151,Account 00151,acct_00151
5,cust_00152,Account 00152,acct_00152
11,cust_00153,Account 00153,acct_00153
3,cust_00154,Account 00154,acct_00154
6,cust_00155,Account 00155,acct_00155
11,cust_00156,Account 00156,acct_00156
7,cust_00157,Account 00157,acct_00157
11,cust_00158,Account 00158,acct_00158
11,cust_00159,Account 00159,acct_00159
7,cust_00160,Account 00160,acct_00160
8,cust_00161,Account 00161,acct_00161
7,cust_00162,Account 00162,acct_00162
11,cust_00163,Account 00163,acct_00163
7,cust_00164,Account 00164,acct_00164
12,cust_00165,Account 00165,acct_00165
6,cust_00166,Account 00166,acct_00166
12,cust_00167,Account 00167,acct_00167
8,cust_00168,Account 00168,acct_00168
8,cust_00169,Account 00169,acct_00169
11,cust_00170,Account 00170,acct_00170
10,cust_00171,Account 00171,acct_00171
6,cust_00172,Account 00172,acct_00172
12,cust_00173,Account 00173,acct_00173
8,cust_00174,Account 00174,acct_00174
4,cust_00175,Account 00175,acct_00175
6,cust_00176,Account 00176,acct_00176
9,cust_00177,Account 00177,acct_00177
10,cust_00178,Account 00178,acct_00178
6,cust_00179,Account 00179,acct_00179
7,cust_00180,Account 00180,acct_00180
7,cust_00181,Account 00181,acct_00181
12,cust_00182,Account 00182,acct_00182
6,cust_00183,Account 00183,acct_00183
6,cust_00184,Account 00184,acct_00184
7,cust_00185,Account 00185,acct_00185
11,cust_00186,Account 00186,acct_00186
7,cust_00187,Account 00187,acct_00187
10,cust_00188,Account 00188,acct_00188
11,cust_00189,Account 00189,acct_00189
5,cust_00190,Account 00190,acct_00190
10,cust_00191,Account 00191,acct_00191
6,cust_00192,Account 00192,acct_00192
9,cust_00193,Account 00193,acct_00193
3,cust_00194,Account 00194,acct_00194
7,cust_00195,Account 00195,acct_00195
11,cust_00196,Account 00196,acct_00196
11,cust_00197,Account 00197,acct_00197
10,cust_00198,Account 00198,acct_00198
4,cust_00199,Account 00199,acct_00199
5,cust_00200,Account 00200,acct_00200
7,cust_00201,Account 00201,acct_00201
5,cust_00202,Account 00202,acct_00202
5,cust_00203,Account 00203,acct_00203
12,cust_00204,Account 00204,acct_00204
3,cust_00205,Account 00205,acct_00205
4,cust_00206,Account 00206,acct_00206
5,cust_00207,Account 00207,acct_00207
9,cust_00208,Account 00208,acct_00208
4,cust_00209,Account 00209,acct_00209
11,cust_00210,Account 00210,acct_00210
5,cust_00211,Account 00211,acct_00211
6,cust_00212,Account 00212,acct_00212
3,cust_00213,Account 00213,acct_00213
7,cust_00214,Account 00214,acct_00214
9,cust_00215,Account 00215,acct_00215
7,cust_00216,Account 00216,acct_00216
11,cust_00217,Account 00217,acct_00217
10,cust_00218,Account 00218,acct_00218
4,cust_00219,Account 00219,acct_00219
3,cust_00220,Account 00220,acct_00220
4,cust_00221,Account 00221,acct_00221
4,cust_00222,Account 00222,acct_00222
8,cust_00223,Account 00223,acct_00223
11,cust_00224,Account 00224,acct_00224
3,cust_00225,Account 00225,acct_00225
7,cust_00226,Account 00226,acct_00226
10,cust_00227,Account 00227,acct_00227
12,cust_00228,Account 00228,acct_00228
10,cust_00229,Account 00229,acct_00229
4,cust_00230,Account 00230,acct_00230
6,cust_00231,Account 00231,acct_00231
5,cust_00232,Account 00232,acct_00232
9,cust_00233,Account 00233,acct_00233
6,cust_00234,Account 00234,acct_00234
6,cust_00235,Account 00235,acct_00235
5,cust_00236,Account 00236,acct_00236
11,cust_00237,Account 00237,acct_00237
8,cust_00238,Account 00238,acct_00238
12,cust_00239,Account 00239,acct_00239
5,cust_00240,Account 00240,acct_00240
3,cust_00241,Account 00241,acct_00241
5,cust_00242,Account 00242,acct_00242
10,cust_00243,Account 00243,acct_00243
11,cust_00244,Account 00244,acct_00244
12,cust_00245,Account 00245,acct_00245
4,cust_00246,Account 00246,acct_00246
9,cust_00247,Account 00247,acct_00247
11,cust_00248,Account 00248,acct_00248
9,cust_00249,Account 00249,acct_00249
9,cust_00250,Account 00250,acct_00250
3,cust_00251,Account 00251,acct_00251
10,cust_00252,Account 00252,acct_00252
9,cust_00253,Account 00253,acct_00253
11,cust_00254,Account 00254,acct_00254
7,cust_00255,Account 00255,acct_00255
5,cust_00256,Account 00256,acct_00256
5,cust_00257,Account 00257,acct_00257
6,cust_00258,Account 00258,acct_00258
9,cust_00259,Account 00259,acct_00259
10,cust_00260,Account 00260,acct_00260
7,cust_00261,Account 00261,acct_00261
3,cust_00262,Account 00262,acct_00262
5,cust_00263,Account 00263,acct_00263
6,cust_00264,Account 00264,acct_00264
11,cust_00265,Account 00265,acct_00265
8,cust_00266,Account 00266,acct_00266
6,cust_00267,Account 00267,acct_00267
12,cust_00268,Account 00268,acct_00268
8,cust_00269,Account 00269,acct_00269
8,cust_00270,Account 00270,acct_00270
12,cust_00271,Account 00271,acct_00271
11,cust_00272,Account 00272,acct_00272
7,cust_00273,Account 00273,acct_00273
11,cust_00274,Account 00274,acct_00274
5,cust_00275,Account 00275,acct_00275
8,cust_00276,Account 00276,acct_00276
10,cust_00277,Account 00277,acct_00277
10,cust_00278,Account 00278,acct_00278
5,cust_00279,Account 00279,acct_00279
6,cust_00280,Account 00280,acct_00280
7,cust_00281,Account 00281,acct_00281
4,cust_00282,Account 00282,acct_00282
7,cust_00283,Account 00283,acct_00283
10,cust_00284,Account 00284,acct_00284
8,cust_00285,Account 00285,acct_00285
9,cust_00286,Account 00286,acct_00286
8,cust_00287,Account 00287,acct_00287
11,cust_00288,Account 00288,acct_00288
6,cust_00289,Account 00289,acct_00289
3,cust_00290,Account 00290,acct_00290
8,cust_00291,Account 00291,acct_00291
12,cust_00292,Account 00292,acct_00292
9,cust_00293,Account 00293,acct_00293
7,cust_00294,Account 00294,acct_00294
8,cust_00295,Account 00295,acct_00295
10,cust_00296,Account 00296,acct_00296
10,cust_00297,Account 00297,acct_00297
3,cust_00298,Account 00298,acct_00298
8,cust_00299,Account 00299,acct_00299
12,cust_00300,Account 00300,acct_00300
