name,crm_id,customer_id
Synthetic Co 1518 Customer 00037,crm_00037,cust_00037
Synthetic Co 1518 Customer 00038,crm_00038,cust_00038
Synthetic Co 1518 Customer 00039,crm_00039,cust_00039
Synthetic Co 1518 Customer 00040,crm_00040,cust_00040
Synthetic Co 1518 Customer 00041,crm_00041,cust_00041
Synthetic Co 1518 Customer 00042,crm_00042,cust_00042
Synthetic Co 1518 Customer 00043,crm_00043,cust_00043
Synthetic Co 1518 Customer 00044,crm_00044,cust_00044
Synthetic Co 1518 Customer 00045,crm_00045,cust_00045
Synthetic Co 1518 Customer 00046,crm_00046,cust_00046
Synthetic Co 1518 Customer 00047,crm_00047,cust_00047
Synthetic Co 1518 Customer 00048,crm_00048,cust_00048
Synthetic Co 1518 Customer 00049,crm_00049,cust_00049
Synthetic Co 1518 Customer 00050,crm_00050,cust_00050
Synthetic Co 1518 Customer 00051,crm_00051,cust_00051
Synthetic Co 1518 Customer 00052,crm_00052,cust_00052
Synthetic Co 1518 Customer 00053,crm_00053,cust_00053
Synthetic Co 1518 Customer 00054,crm_00054,cust_00054
Synthetic Co 1518 Customer 00055,crm_00055,cust_00055
Synthetic Co 1518 Customer 00056,crm_00056,cust_00056
Synthetic Co 1518 Customer 00057,crm_00057,cust_00057
Synthetic Co 1518 Customer 00058,crm_00058,cust_00058
Synthetic Co 1518 Customer 00059,crm_00059,cust_00059
Synthetic Co 1518 Customer 00060,crm_00060,cust_00060
Synthetic Co 1518 Customer 00061,crm_00061,cust_00061
Synthetic Co 1518 Customer 00062,crm_00062,cust_00062
Synthetic Co 1518 Customer 00063,crm_00063,cust_00063
Synthetic Co 1518 Customer 00064,crm_00064,cust_00064
Synthetic Co 1518 Customer 00065,crm_00065,cust_00065
Synthetic Co 1518 Customer 00066,crm_00066,cust_00066
Synthetic Co 1518 Customer 00067,crm_00067,cust_00067
Synthetic Co 1518 Customer 00068,crm_00068,cust_00068
Synthetic Co 1518 Customer 00069,crm_00069,cust_00069
Synthetic Co 1518 Customer 00070,crm_00070,cust_00070
Synthetic Co 1518 Customer 00071,crm_00071,cust_00071
Synthetic Co 1518 Customer 00072,crm_00072,cust_00072
Synthetic Co 1518 Customer 00073,crm_00073,cust_00073
Synthetic Co 1518 Customer 00074,crm_00074,cust_00074
Synthetic Co 1518 Customer 00075,crm_00075,cust_00075
Synthetic Co 1518 Customer 00076,crm_00076,cust_00076
Synthetic Co 1518 Customer 00077,crm_00077,cust_00077
Synthetic Co 1518 Customer 00078,crm_00078,cust_00078
Synthetic Co 1518 Customer 00079,crm_00079,cust_00079
Synthetic Co 1518 Customer 00080,crm_00080,cust_00080
Synthetic Co 1518 Customer 00081,crm_00081,cust_00081
Synthetic Co 1518 Customer 00082,crm_00082,cust_00082
Synthetic Co 1518 Customer 00083,crm_00083,cust_00083
Synthetic Co 1518 Customer 00084,crm_00084,cust_00084
Synthetic Co 1518 Customer 00085,crm_00085,cust_00085
Synthetic Co 1518 Customer 00086,crm_00086,cust_00086
Synthetic Co 1518 Customer 00087,crm_00087,cust_00087
Synthetic Co 1518 Customer 00088,crm_00088,cust_00088
Synthetic Co 1518 Customer 00089,crm_00089,cust_00089
Synthetic Co 1518 Customer 00090,crm_00090,cust_00090
Synthetic Co 1518 Customer 00091,crm_00091,cust_00091
Synthetic Co 1518 Customer 00092,crm_00092,cust_00092
Synthetic Co 1518 Customer 00093,crm_00093,cust_00093
Synthetic Co 1518 Customer 00094,crm_00094,cust_00094
Synthetic Co 1518 Customer 00095,crm_00095,cust_00095
Synthetic Co 1518 Customer 00096,crm_00096,cust_00096
Synthetic Co 1518 Customer 00097,crm_00097,cust_00097
Synthetic Co 1518 Customer 00098,crm_00098,cust_00098
Synthetic Co 1518 Customer 00099,crm_00099,cust_00099
Synthetic Co 1518 Customer 00100,crm_00100,cust_00100
Synthetic Co 1518 Customer 00101,crm_00101,cust_00101
Synthetic Co 1518 Customer 00102,crm_00102,cust_00102
Synthetic Co 1518 Customer 00103,crm_00103,cust_00103
Synthetic Co 1518 Customer 00104,crm_00104,cust_00104
Synthetic Co 1518 Customer 00105,crm_00105,cust_00105
Synthetic Co 1518 Customer 00106,crm_00106,cust_00106
Synthetic Co 1518 Customer 00107,crm_00107,cust_00107
Synthetic Co 1518 Customer 00108,crm_00108,cust_00108
Synthetic Co 1518 Customer 00109,crm_00109,cust_00109
Synthetic Co 1518 Customer 00110,crm_00110,cust_00110
Synthetic Co 1518 Customer 00111,crm_00111,cust_00111
Synthetic Co 1518 Customer 00112,crm_00112,cust_00112
Synthetic Co 1518 Customer 00113,crm_00113,cust_00113
Synthetic Co 1518 Customer 00114,crm_00114,cust_00114
Synthetic Co 1518 Customer 00115,crm_00115,cust_00115
Synthetic Co 1518 Customer 00116,crm_00116,cust_00116
Synthetic Co 1518 Customer 00117,crm_00117,cust_00117
Synthetic Co 1518 Customer 00118,crm_00118,cust_00118
Synthetic Co 1518 Customer 00119,crm_00119,cust_00119
Synthetic Co 1518 Customer 00120,crm_00120,cust_00120
Synthetic Co 1518 Customer 00121,crm_00121,cust_00121
Synthetic Co 1518 Customer 00122,crm_00122,cust_00122
Synthetic Co 1518 Customer 00123,crm_00123,cust_00123
Synthetic Co 1518 Customer 00124,crm_00124,cust_00124
Synthetic Co 1518 Customer 00125,crm_00125,cust_00125
Synthetic Co 1518 Customer 00126,crm_00126,cust_00126
Synthetic Co 1518 Customer 00127,crm_00127,cust_00127
Synthetic Co 1518 Customer 00128,crm_00128,cust_00128
Synthetic Co 1518 Customer 00129,crm_00129,cust_00129
Synthetic Co 1518 Customer 00130,crm_00130,cust_00130
Synthetic Co 1518 Customer 00131,crm_00131,cust_00131
Synthetic Co 1518 Customer 00132,crm_00132,cust_00132
Synthetic Co 1518 Customer 00133,crm_00133,cust_00133
Synthetic Co 1518 Customer 00134,crm_00134,cust_00134
Synthetic Co 1518 Customer 00135,crm_00135,cust_00135
Synthetic Co 1518 Customer 00136,crm_00136,cust_00136
Synthetic Co 1518 Customer 00137,crm_00137,cust_00137
Synthetic Co 1518 Customer 00138,crm_00138,cust_00138
Synthetic Co 1518 Customer 00139,crm_00139,cust_00139
Synthetic Co 1518 Customer 00140,crm_00140,cust_00140
Synthetic Co 1518 Customer 00141,crm_00141,cust_00141
Synthetic Co 1518 Customer 00142,crm_00142,cust_00142
Synthetic Co 1518 Customer 00143,crm_00143,cust_00143
Synthetic Co 1518 Customer 00144,crm_00144,cust_00144
Synthetic Co 1518 Customer 00145,crm_00145,cust_00145
Synthetic Co 1518 Customer 00146,crm_00146,cust_00146
Synthetic Co 1518 Customer 00147,crm_00147,cust_00147
Synthetic Co 1518 Customer 00148,crm_00148,cust_00148
Synthetic Co 1518 Customer 00149,crm_00149,cust_00149
Synthetic Co 1518 Customer 00150,crm_00150,cust_00150
Synthetic Co 1518 Customer 00151,crm_00151,cust_00151
Synthetic Co 1518 Customer 00152,crm_00152,cust_00152
Synthetic Co 1518 Customer 00153,crm_00153,cust_00153
Synthetic Co 1518 Customer 00154,crm_00154,cust_00154
Synthetic Co 1518 Customer 00155,crm_00155,cust_00155
Synthetic Co 1518 Customer 00156,crm_00156,cust_00156
Synthetic Co 1518 Customer 00157,crm_00157,cust_00157
Synthetic Co 1518 Customer 00158,crm_00158,cust_00158
Synthetic Co 1518 Customer 00159,crm_00159,cust_00159
Synthetic Co 1518 Customer 00160,crm_00160,cust_00160
Synthetic Co 1518 Customer 00161,crm_00161,cust_00161
Synthetic Co 1518 Customer 00162,crm_00162,cust_00162
Synthetic Co 1518 Customer 00163,crm_00163,cust_00163
Synthetic Co 1518 Customer 00164,crm_00164,cust_00164
Synthetic Co 1518 Customer 00165,crm_00165,cust_00165
Synthetic Co 1518 Customer 00166,crm_00166,cust_00166
Synthetic Co 1518 Customer 00167,crm_00167,cust_00167
Synthetic Co 1518 Customer 00168,crm_00168,cust_00168
Synthetic Co 1518 Customer 00169,crm_00169,cust_00169
Synthetic Co 1518 Customer 00170,crm_00170,cust_00170
Synthetic Co 1518 Customer 00171,crm_00171,cust_00171
Synthetic Co 1518 Customer 00172,crm_00172,cust_00172
Synthetic Co 1518 Customer 00173,crm_00173,cust_00173
Synthetic Co 1518 Customer 00174,crm_00174,cust_00174
Synthetic Co 1518 Customer 00175,crm_00175,cust_00175
Synthetic Co 1518 Customer 00176,crm_00176,cust_00176
Synthetic Co 1518 Customer 00177,crm_00177,cust_00177
Synthetic Co 1518 Customer 00178,crm_00178,cust_00178
Synthetic Co 1518 Customer 00179,crm_00179,cust_00179
Synthetic Co 1518 Customer 00180,crm_00180,cust_00180
Synthetic Co 1518 Customer 00181,crm_00181,cust_00181
Synthetic Co 1518 Customer 00182,crm_00182,cust_00182
Synthetic Co 1518 Customer 00183,crm_00183,cust_00183
Synthetic Co 1518 Customer 00184,crm_00184,cust_00184
Synthetic Co 1518 Customer 00185,crm_00185,cust_00185
Synthetic Co 1518 Customer 00186,crm_00186,cust_00186
Synthetic Co 1518 Customer 00187,crm_00187,cust_00187
Synthetic Co 1518 Customer 00188,crm_00188,cust_00188
Synthetic Co 1518 Customer 00189,crm_00189,cust_00189
Synthetic Co 1518 Customer 00190,crm_00190,cust_00190
Synthetic Co 1518 Customer 00191,crm_00191,cust_00191
Synthetic Co 1518 Customer 00192,crm_00192,cust_00192
Synthetic Co 1518 Customer 00193,crm_00193,cust_00193
Synthetic Co 1518 Customer 00194,crm_00194,cust_00194
Synthetic Co 1518 Customer 00195,crm_00195,cust_00195
Synthetic Co 1518 Customer 00196,crm_00196,cust_00196
Synthetic Co 1518 Customer 00197,crm_00197,cust_00197
Synthetic Co 1518 Customer 00198,crm_00198,cust_00198
Synthetic Co 1518 Customer 00199,crm_00199,cust_00199
Synthetic Co 1518 Customer 00200,crm_00200,cust_00200
Synthetic Co 1518 Customer 00201,crm_00201,cust_00201
Synthetic Co 1518 Customer 00202,crm_00202,cust_00202
Synthetic Co 1518 Customer 00203,crm_00203,cust_00203
Synthetic Co 1518 Customer 00204,crm_00204,cust_00204
Synthetic Co 1518 Customer 00205,crm_00205,cust_00205
Synthetic Co 1518 Customer 00206,crm_00206,cust_00206
Synthetic Co 1518 Customer 00207,crm_00207,cust_00207
Synthetic Co 1518 Customer 00208,crm_00208,cust_00208
Synthetic Co 1518 Customer 00209,crm_00209,cust_00209
Synthetic Co 1518 Customer 00210,crm_00210,cust_00210
Synthetic Co 1518 Customer 00211,crm_00211,cust_00211
Synthetic Co 1518 Customer 00212,crm_00212,cust_00212
Synthetic Co 1518 Customer 00213,crm_00213,cust_00213
Synthetic Co 1518 Customer 00214,crm_00214,cust_00214
Synthetic Co 1518 Customer 00215,crm_00215,cust_00215
Synthetic Co 1518 Customer 00216,crm_00216,cust_00216
Synthetic Co 1518 Customer 00217,crm_00217,cust_00217
Synthetic Co 1518 Customer 00218,crm_00218,cust_00218
Synthetic Co 1518 Customer 00219,crm_00219,cust_00219
Synthetic Co 1518 Customer 00220,crm_00220,cust_00220
Synthetic Co 1518 Customer 00221,crm_00221,cust_00221
Synthetic Co 1518 Customer 00222,crm_00222,cust_00222
Synthetic Co 1518 Customer 00223,crm_00223,cust_00223
Synthetic Co 1518 Customer 00224,crm_00224,cust_00224
Synthetic Co 1518 Customer 00225,crm_00225,cust_00225
Synthetic Co 1518 Customer 00226,crm_00226,cust_00226
Synthetic Co 1518 Customer 00227,crm_00227,cust_00227
Synthetic Co 1518 Customer 00228,crm_00228,cust_00228
Synthetic Co 1518 Customer 00229,crm_00229,cust_00229
Synthetic Co 1518 Customer 00230,crm_00230,cust_00230
Synthetic Co 1518 Customer 00231,crm_00231,cust_00231
Synthetic Co 1518 Customer 00232,crm_00232,cust_00232
Synthetic Co 1518 Customer 00233,crm_00233,cust_00233
Synthetic Co 1518 Customer 00234,crm_00234,cust_00234
Synthetic Co 1518 Customer 00235,crm_00235,cust_00235
Synthetic Co 1518 Customer 00236,crm_00236,cust_00236
Synthetic Co 1518 Customer 00237,crm_00237,cust_00237
Synthetic Co 1518 Customer 00238,crm_00238,cust_00238
Synthetic Co 1518 Customer 00239,crm_00239,cust_00239
Synthetic Co 1518 Customer 00240,crm_00240,cust_00240
Synthetic Co 1518 Customer 00241,crm_00241,cust_00241
Synthetic Co 1518 Customer 00242,crm_00242,cust_00242
Synthetic Co 1518 Customer 00243,crm_00243,cust_00243
Synthetic Co 1518 Customer 00244,crm_00244,cust_00244
Synthetic Co 1518 Customer 00245,crm_00245,cust_00245
Synthetic Co 1518 Customer 00246,crm_00246,cust_00246
Synthetic Co 1518 Customer 00247,crm_00247,cust_00247
Synthetic Co 1518 Customer 00248,crm_00248,cust_00248
Synthetic Co 1518 Customer 00249,crm_00249,cust_00249
Synthetic Co 1518 Customer 00250,crm_00250,cust_00250
Synthetic Co 1518 Customer 00251,crm_00251,cust_00251
Synthetic Co 1518 Customer 00252,crm_00252,cust_00252
Synthetic Co 1518 Customer 00253,crm_00253,cust_00253
Synthetic Co 1518 Customer 00254,crm_00254,cust_00254
Synthetic Co 1518 Customer 00255,crm_00255,cust_00255
Synthetic Co 1518 Customer 00256,crm_00256,cust_00256
Synthetic Co 1518 Customer 00257,crm_00257,cust_00257
Synthetic Co 1518 Customer 00258,crm_00258,cust_00258
Synthetic Co 1518 Customer 00259,crm_00259,cust_00259
Synthetic Co 1518 Customer 00260,crm_00260,cust_00260
Synthetic Co 1518 Customer 00261,crm_00261,cust_00261
Synthetic Co 1518 Customer 00262,crm_00262,cust_00262
Synthetic Co 1518 Customer 00263,crm_00263,cust_00263
Synthetic Co 1518 Customer 00264,crm_00264,cust_00264
Synthetic Co 1518 Customer 00265,crm_00265,cust_00265
Synthetic Co 1518 Customer 00266,crm_00266,cust_00266
Synthetic Co 1518 Customer 00267,crm_00267,cust_00267
Synthetic Co 1518 Customer 00268,crm_00268,cust_00268
Synthetic Co 1518 Customer 00269,crm_00269,cust_00269
Synthetic Co 1518 Customer 00270,crm_00270,cust_00270
Synthetic Co 1518 Customer 00271,crm_00271,cust_00271
Synthetic Co 1518 Customer 00272,crm_00272,cust_00272
Synthetic Co 1518 Customer 00273,crm_00273,cust_00273
Synthetic Co 1518 Customer 00274,crm_00274,cust_00274
Synthetic Co 1518 Customer 00275,crm_00275,cust_00275
Synthetic Co 1518 Customer 00276,crm_00276,cust_00276
Synthetic Co 1518 Customer 00277,crm_00277,cust_00277
Synthetic Co 1518 Customer 00278,crm_00278,cust_00278
Synthetic Co 1518 Customer 00279,crm_00279,cust_00279
Synthetic Co 1518 Customer 00280,crm_00280,cust_00280
Synthetic Co 1518 Customer 00281,crm_00281,cust_00281
Synthetic Co 1518 Customer 00282,crm_00282,cust_00282
Synthetic Co 1518 Customer 00283,crm_00283,cust_00283
Synthetic Co 1518 Customer 00284,crm_00284,cust_00284
Synthetic Co 1518 Customer 00285,crm_00285,cust_00285
Synthetic Co 1518 Customer 00286,crm_00286,cust_00286
Synthetic Co 1518 Customer 00287,crm_00287,cust_00287
Synthetic Co 1518 Customer 00288,crm_00288,cust_00288
Synthetic Co 1518 Customer 00289,crm_00289,cust_00289
Synthetic Co 1518 Customer 00290,crm_00290,cust_00290
Synthetic Co 1518 Customer 00291,crm_00291,cust_00291
Synthetic Co 1518 Customer 00292,crm_00292,cust_00292
Synthetic Co 1518 Customer 00293,crm_00293,cust_00293
Synthetic Co 1518 Customer 00294,crm_00294,cust_00294
Synthetic Co 1518 Customer 00295,crm_00295,cust_00295
Synthetic Co 1518 Customer 00296,crm_00296,cust_00296
Synthetic Co 1518 Customer 00297,crm_00297,cust_00297
Synthetic Co 1518 Customer 00298,crm_00298,cust_00298
Synthetic Co 1518 Customer 00299,crm_00299,cust_00299
Synthetic Co 1518 Customer 00300,crm_00300,cust_00300
