quantity,Product_Id,renewal_date,currency,plan,customer_id,sub_id,price,billing_interval,coupon_id,Start Date,status
5,prod_professional_mo,11/09/2024,USD,Professional,cust_00071,sub_00071,4004.2706,monthly,,2024/08/11,active
12,prod_business_mo,2024-09-12,USD,Business,cust_00072,sub_00072,7816.9492,monthly,,08/12/2024,active
9,prod_starter_mo,13/09/2024,USD,Starter,cust_00073,sub_00073,1207.0289,monthly,,08/13/2024,active
7,prod_growth_mo,09/14/2024,USD,Growth,cust_00074,sub_00074,1915.9189,monthly,,2024-08-14,active
3,prod_professional_mo,2024-09-15,USD,Professional,cust_00075,sub_00075,4004.2706,monthly,,08/15/2024,active
7,prod_business_mo,2024/09/16,USD,Business,cust_00076,sub_00076,7816.9492,monthly,,2024-08-16,active
12,prod_starter_mo,09/17/2024,USD,Starter,cust_00077,sub_00077,1207.0289,monthly,,08/17/2024,active
9,prod_growth_mo,2024-09-18,USD,Growth,cust_00078,sub_00078,1915.9189,monthly,,18/08/2024,active
6,prod_professional_mo,2024/09/19,USD,Professional,cust_00079,sub_00079,4004.2706,monthly,,19/08/2024,active
12,prod_business_mo,2024/08/31,USD,Business,cust_00080,sub_00080,7816.9492,monthly,,2024-07-31,active
7,prod_starter_mo,2024-09-01,USD,Starter,cust_00081,sub_00081,1207.0289,monthly,,2024-08-01,active
5,prod_growth_mo,2024-09-02,USD,Growth,cust_00082,sub_00082,1915.9189,monthly,,02/08/2024,active
8,prod_professional_mo,2024-09-03,USD,Professional,cust_00083,sub_00083,4004.2706,monthly,,03/08/2024,active
10,prod_business_mo,2024/09/04,USD,Business,cust_00084,sub_00084,7816.9492,monthly,,2024/08/04,active
9,prod_starter_mo,2024-09-05,USD,Starter,cust_00085,sub_00085,1207.0289,monthly,,08/05/2024,active
9,prod_growth_mo,09/06/2024,USD,Growth,cust_00086,sub_00086,1915.9189,monthly,,2024/08/06,active
11,prod_professional_mo,09/07/2024,USD,Professional,cust_00087,sub_00087,4004.2706,monthly,,08/07/2024,active
9,prod_business_mo,09/08/2024,USD,Business,cust_00088,sub_00088,7816.9492,monthly,,08/08/2024,active
12,prod_starter_mo,09/09/2024,USD,Starter,cust_00089,sub_00089,1207.0289,monthly,,2024-08-09,active
11,prod_growth_mo,09/10/2024,USD,Growth,cust_00090,sub_00090,1915.9189,monthly,,2024/08/10,active
4,prod_professional_mo,2024-09-11,USD,Professional,cust_00091,sub_00091,4004.2706,monthly,,2024/08/11,active
4,prod_business_mo,2024/09/12,USD,Business,cust_00092,sub_00092,7816.9492,monthly,,2024/08/12,active
6,prod_starter_mo,2024-09-13,USD,Starter,cust_00093,sub_00093,1207.0289,monthly,,2024/08/13,active
6,prod_growth_mo,2024/09/14,USD,Growth,cust_00094,sub_00094,1915.9189,monthly,,14/08/2024,active
9,prod_professional_mo,09/15/2024,USD,Professional,cust_00095,sub_00095,4004.2706,monthly,,08/15/2024,active
7,prod_business_mo,09/16/2024,USD,Business,cust_00096,sub_00096,7816.9492,monthly,,2024/08/16,active
3,prod_starter_mo,2024/09/17,USD,Starter,cust_00097,sub_00097,1207.0289,monthly,,17/08/2024,active
12,prod_growth_mo,2024-09-18,USD,Growth,cust_00098,sub_00098,1915.9189,monthly,,08/18/2024,active
8,prod_professional_mo,09/19/2024,USD,Professional,cust_00099,sub_00099,4004.2706,monthly,,19/08/2024,active
10,prod_business_mo,08/31/2024,USD,Business,cust_00100,sub_00100,7816.9492,monthly,,31/07/2024,active
3,prod_starter_mo,01/09/2024,USD,Starter,cust_00101,sub_00101,1207.0289,monthly,,01/08/2024,active
10,prod_growth_mo,09/02/2024,USD,Growth,cust_00102,sub_00102,1915.9189,monthly,,02/08/2024,active
3,prod_professional_mo,2024/09/03,USD,Professional,cust_00103,sub_00103,4004.2706,monthly,,2024/08/03,active
10,prod_business_mo,09/04/2024,USD,Business,cust_00104,sub_00104,7816.9492,monthly,,08/04/2024,active
12,prod_starter_mo,05/09/2024,USD,Starter,cust_00105,sub_00105,1207.0289,monthly,,2024-08-05,active
10,prod_growth_mo,06/09/2024,USD,Growth,cust_00106,sub_00106,1915.9189,monthly,,2024/08/06,active
9,prod_professional_mo,07/09/2024,USD,Professional,cust_00107,sub_00107,4004.2706,monthly,,2024/08/07,active
7,prod_business_mo,08/09/2024,USD,Business,cust_00108,sub_00108,7816.9492,monthly,,08/08/2024,active
8,prod_starter_mo,2024-09-09,USD,Starter,cust_00109,sub_00109,1207.0289,monthly,,09/08/2024,active
8,prod_growth_mo,2024/09/10,USD,Growth,cust_00110,sub_00110,1915.9189,monthly,,10/08/2024,active
7,prod_professional_mo,11/09/2024,USD,Professional,cust_00111,sub_00111,4004.2706,monthly,,2024/08/11,active
4,prod_business_mo,2024/09/12,USD,Business,cust_00112,sub_00112,7816.9492,monthly,,2024-08-12,active
8,prod_starter_mo,13/09/2024,USD,Starter,cust_00113,sub_00113,1207.0289,monthly,,2024/08/13,active
11,prod_growth_mo,2024/09/14,USD,Growth,cust_00114,sub_00114,1915.9189,monthly,,08/14/2024,active
9,prod_professional_mo,15/09/2024,USD,Professional,cust_00115,sub_00115,4004.2706,monthly,,15/08/2024,active
12,prod_business_mo,16/09/2024,USD,Business,cust_00116,sub_00116,7816.9492,monthly,,16/08/2024,active
10,prod_starter_mo,2024/09/17,USD,Starter,cust_00117,sub_00117,1207.0289,monthly,,2024/08/17,active
6,prod_growth_mo,18/09/2024,USD,Growth,cust_00118,sub_00118,1915.9189,monthly,,2024-08-18,active
11,prod_professional_mo,2024-09-19,USD,Professional,cust_00119,sub_00119,4004.2706,monthly,,19/08/2024,active
5,prod_business_mo,08/31/2024,USD,Business,cust_00120,sub_00120,7816.9492,monthly,,07/31/2024,active
4,prod_starter_mo,09/01/2024,USD,Starter,cust_00121,sub_00121,1207.0289,monthly,,01/08/2024,active
10,prod_growth_mo,02/09/2024,USD,Growth,cust_00122,sub_00122,1915.9189,monthly,,2024/08/02,active
6,prod_professional_mo,2024/09/03,USD,Professional,cust_00123,sub_00123,4004.2706,monthly,,08/03/2024,active
5,prod_business_mo,09/04/2024,USD,Business,cust_00124,sub_00124,7816.9492,monthly,,08/04/2024,active
8,prod_starter_mo,09/05/2024,USD,Starter,cust_00125,sub_00125,1207.0289,monthly,,05/08/2024,active
9,prod_growth_mo,09/06/2024,USD,Growth,cust_00126,sub_00126,1915.9189,monthly,,2024-08-06,active
8,prod_professional_mo,2024/09/07,USD,Professional,cust_00127,sub_00127,4004.2706,monthly,,07/08/2024,active
10,prod_business_mo,2024/09/08,USD,Business,cust_00128,sub_00128,7816.9492,monthly,,08/08/2024,active
6,prod_starter_mo,2024-09-09,USD,Starter,cust_00129,sub_00129,1207.0289,monthly,,2024/08/09,active
11,prod_growth_mo,09/10/2024,USD,Growth,cust_00130,sub_00130,1915.9189,monthly,,2024/08/10,active
11,prod_professional_mo,11/09/2024,USD,Professional,cust_00131,sub_00131,4004.2706,monthly,,11/08/2024,active
3,prod_business_mo,2024/09/12,USD,Business,cust_00132,sub_00132,7816.9492,monthly,,12/08/2024,active
5,prod_starter_mo,2024-09-13,USD,Starter,cust_00133,sub_00133,1207.0289,monthly,,2024/08/13,active
8,prod_growth_mo,09/14/2024,USD,Growth,cust_00134,sub_00134,1915.9189,monthly,,08/14/2024,active
4,prod_professional_mo,09/15/2024,USD,Professional,cust_00135,sub_00135,4004.2706,monthly,,2024/08/15,active
6,prod_business_mo,16/09/2024,USD,Business,cust_00136,sub_00136,7816.9492,monthly,,08/16/2024,active
10,prod_starter_mo,2024-09-17,USD,Starter,cust_00137,sub_00137,1207.0289,monthly,,2024-08-17,active
7,prod_growth_mo,2024-09-18,USD,Growth,cust_00138,sub_00138,1915.9189,monthly,,2024/08/18,active
7,prod_professional_mo,2024/09/19,USD,Professional,cust_00139,sub_00139,4004.2706,monthly,,08/19/2024,active
10,prod_business_mo,08/31/2024,USD,Business,cust_00140,sub_00140,7816.9492,monthly,,31/07/2024,active
12,prod_starter_mo,2024/09/01,USD,Starter,cust_00141,sub_00141,1207.0289,monthly,,2024/08/01,active
12,prod_growth_mo,09/02/2024,USD,Growth,cust_00142,sub_00142,1915.9189,monthly,,2024/08/02,active
6,prod_professional_mo,2024/09/03,USD,Professional,cust_00143,sub_00143,4004.2706,monthly,,03/08/2024,active
3,prod_business_mo,09/04/2024,USD,Business,cust_00144,sub_00144,7816.9492,monthly,,08/04/2024,active
7,prod_starter_mo,05/09/2024,USD,Starter,cust_00145,sub_00145,1207.0289,monthly,,2024/08/05,active
7,prod_growth_mo,2024/09/06,USD,Growth,cust_00146,sub_00146,1915.9189,monthly,,06/08/2024,active
10,prod_professional_mo,07/09/2024,USD,Professional,cust_00147,sub_00147,4004.2706,monthly,,08/07/2024,active
3,prod_business_mo,09/08/2024,USD,Business,cust_00148,sub_00148,7816.9492,monthly,,08/08/2024,active
10,prod_starter_mo,09/09/2024,USD,Starter,cust_00149,sub_00149,1207.0289,monthly,,2024-08-09,active
9,prod_growth_mo,10/09/2024,USD,Growth,cust_00150,sub_00150,1915.9189,monthly,,08/10/2024,active
4,prod_professional_mo,2024-09-11,USD,Professional,cust_00151,sub_00151,4004.2706,monthly,,11/08/2024,active
5,prod_business_mo,2024/09/12,USD,Business,cust_00152,sub_00152,7816.9492,monthly,,2024/08/12,active
11,prod_starter_mo,2024-09-13,USD,Starter,cust_00153,sub_00153,1207.0289,monthly,,2024-08-13,active
3,prod_growth_mo,2024/09/14,USD,Growth,cust_00154,sub_00154,1915.9189,monthly,,2024/08/14,active
6,prod_professional_mo,2024/09/15,USD,Professional,cust_00155,sub_00155,4004.2706,monthly,,2024-08-15,active
11,prod_business_mo,16/09/2024,USD,Business,cust_00156,sub_00156,7816.9492,monthly,,08/16/2024,active
7,prod_starter_mo,2024-09-17,USD,Starter,cust_00157,sub_00157,1207.0289,monthly,,17/08/2024,active
11,prod_growth_mo,2024/09/18,USD,Growth,cust_00158,sub_00158,1915.9189,monthly,,18/08/2024,active
11,prod_professional_mo,2024/09/19,USD,Professional,cust_00159,sub_00159,4004.2706,monthly,,2024/08/19,active
7,prod_business_mo,08/31/2024,USD,Business,cust_00160,sub_00160,7816.9492,monthly,,31/07/2024,active
8,prod_starter_mo,09/01/2024,USD,Starter,cust_00161,sub_00161,1207.0289,monthly,,08/01/2024,active
7,prod_growth_mo,2024-09-02,USD,Growth,cust_00162,sub_00162,1915.9189,monthly,,2024-08-02,active
11,prod_professional_mo,09/03/2024,USD,Professional,cust_00163,sub_00163,4004.2706,monthly,,2024-08-03,active
7,prod_business_mo,2024-09-04,USD,Business,cust_00164,sub_00164,7816.9492,monthly,,04/08/2024,active
12,prod_starter_mo,2024/09/05,USD,Starter,cust_00165,sub_00165,1207.0289,monthly,,2024-08-05,active
6,prod_growth_mo,06/09/2024,USD,Growth,cust_00166,sub_00166,1915.9189,monthly,,08/06/2024,active
12,prod_professional_mo,07/09/2024,USD,Professional,cust_00167,sub_00167,4004.2706,monthly,,2024-08-07,active
8,prod_business_mo,2024/09/08,USD,Business,cust_00168,sub_00168,7816.9492,monthly,,2024/08/08,active
8,prod_starter_mo,2024-09-09,USD,Starter,cust_00169,sub_00169,1207.0289,monthly,,09/08/2024,active
11,prod_growth_mo,2024-09-10,USD,Growth,cust_00170,sub_00170,1915.9189,monthly,,2024-08-10,active
10,prod_professional_mo,2024/09/11,USD,Professional,cust_00171,sub_00171,4004.2706,monthly,,08/11/2024,active
6,prod_business_mo,2024/09/12,USD,Business,cust_00172,sub_00172,7816.9492,monthly,,08/12/2024,active
12,prod_starter_mo,2024-09-13,USD,Starter,cust_00173,sub_00173,1207.0289,monthly,,13/08/2024,active
8,prod_growth_mo,2024-09-14,USD,Growth,cust_00174,sub_00174,1915.9189,monthly,,2024-08-14,active
4,prod_professional_mo,2024-09-15,USD,Professional,cust_00175,sub_00175,4004.2706,monthly,,2024/08/15,active
6,prod_business_mo,2024/09/16,USD,Business,cust_00176,sub_00176,7816.9492,monthly,,16/08/2024,active
9,prod_starter_mo,2024-09-17,USD,Starter,cust_00177,sub_00177,1207.0289,monthly,,2024-08-17,active
10,prod_growth_mo,2024-09-18,USD,Growth,cust_00178,sub_00178,1915.9189,monthly,,08/18/2024,active
6,prod_professional_mo,2024-09-19,USD,Professional,cust_00179,sub_00179,4004.2706,monthly,,2024-08-19,active
7,prod_business_mo,08/31/2024,USD,Business,cust_00180,sub_00180,7816.9492,monthly,,07/31/2024,active
7,prod_starter_mo,2024-09-01,USD,Starter,cust_00181,sub_00181,1207.0289,monthly,,2024/08/01,active
12,prod_growth_mo,2024/09/02,USD,Growth,cust_00182,sub_00182,1915.9189,monthly,,08/02/2024,active
6,prod_professional_mo,2024-09-03,USD,Professional,cust_00183,sub_00183,4004.2706,monthly,,2024/08/03,active
6,prod_business_mo,04/09/2024,USD,Business,cust_00184,sub_00184,7816.9492,monthly,,2024/08/04,active
7,prod_starter_mo,05/09/2024,USD,Starter,cust_00185,sub_00185,1207.0289,monthly,,08/05/2024,active
11,prod_growth_mo,09/06/2024,USD,Growth,cust_00186,sub_00186,1915.9189,monthly,,08/06/2024,active
7,prod_professional_mo,2024-09-07,USD,Professional,cust_00187,sub_00187,4004.2706,monthly,,2024/08/07,active
10,prod_business_mo,09/08/2024,USD,Business,cust_00188,sub_00188,7816.9492,monthly,,2024-08-08,active
11,prod_starter_mo,09/09/2024,USD,Starter,cust_00189,sub_00189,1207.0289,monthly,,2024/08/09,active
5,prod_growth_mo,2024/09/10,USD,Growth,cust_00190,sub_00190,1915.9189,monthly,,08/10/2024,active
10,prod_professional_mo,2024/09/11,USD,Professional,cust_00191,sub_00191,4004.2706,monthly,,2024-08-11,active
6,prod_business_mo,09/12/2024,USD,Business,cust_00192,sub_00192,7816.9492,monthly,,2024/08/12,active
9,prod_starter_mo,09/13/2024,USD,Starter,cust_00193,sub_00193,1207.0289,monthly,,13/08/2024,active
3,prod_growth_mo,2024/09/14,USD,Growth,cust_00194,sub_00194,1915.9189,monthly,,08/14/2024,active
7,prod_professional_mo,2024/09/15,USD,Professional,cust_00195,sub_00195,4004.2706,monthly,,08/15/2024,active
11,prod_business_mo,2024-09-16,USD,Business,cust_00196,sub_00196,7816.9492,monthly,,2024/08/16,active
11,prod_starter_mo,09/17/2024,USD,Starter,cust_00197,sub_00197,1207.0289,monthly,,2024-08-17,active
10,prod_growth_mo,18/09/2024,USD,Growth,cust_00198,sub_00198,1915.9189,monthly,,08/18/2024,active
4,prod_professional_mo,2024/09/19,USD,Professional,cust_00199,sub_00199,4004.2706,monthly,,08/19/2024,active
5,prod_business_mo,2024-08-31,USD,Business,cust_00200,sub_00200,7816.9492,monthly,,07/31/2024,active
7,prod_starter_mo,01/09/2024,USD,Starter,cust_00201,sub_00201,1207.0289,monthly,,08/01/2024,active
5,prod_growth_mo,09/02/2024,USD,Growth,cust_00202,sub_00202,1915.9189,monthly,,2024/08/02,active
5,prod_professional_mo,03/09/2024,USD,Professional,cust_00203,sub_00203,4004.2706,monthly,,2024/08/03,active
12,prod_business_mo,09/04/2024,USD,Business,cust_00204,sub_00204,7816.9492,monthly,,2024-08-04,active
3,prod_starter_mo,05/09/2024,USD,Starter,cust_00205,sub_00205,1207.0289,monthly,,08/05/2024,active
4,prod_growth_mo,09/06/2024,USD,Growth,cust_00206,sub_00206,1915.9189,monthly,,2024-08-06,active
5,prod_professional_mo,2024/09/07,USD,Professional,cust_00207,sub_00207,4004.2706,monthly,,08/07/2024,active
9,prod_business_mo,08/09/2024,USD,Business,cust_00208,sub_00208,7816.9492,monthly,,08/08/2024,active
4,prod_starter_mo,09/09/2024,USD,Starter,cust_00209,sub_00209,1207.0289,monthly,,09/08/2024,active
11,prod_growth_mo,10/09/2024,USD,Growth,cust_00210,sub_00210,1915.9189,monthly,,10/08/2024,active
5,prod_professional_mo,11/09/2024,USD,Professional,cust_00211,sub_00211,4004.2706,monthly,,2024/08/11,active
6,prod_business_mo,2024/09/12,USD,Business,cust_00212,sub_00212,7816.9492,monthly,,08/12/2024,active
3,prod_starter_mo,09/13/2024,USD,Starter,cust_00213,sub_00213,1207.0289,monthly,,2024-08-13,active
7,prod_growth_mo,14/09/2024,USD,Growth,cust_00214,sub_00214,1915.9189,monthly,,08/14/2024,active
9,prod_professional_mo,2024/09/15,USD,Professional,cust_00215,sub_00215,4004.2706,monthly,,2024-08-15,active
7,prod_business_mo,09/16/2024,USD,Business,cust_00216,sub_00216,7816.9492,monthly,,2024-08-16,active
11,prod_starter_mo,17/09/2024,USD,Starter,cust_00217,sub_00217,1207.0289,monthly,,17/08/2024,active
10,prod_growth_mo,2024-09-18,USD,Growth,cust_00218,sub_00218,1915.9189,monthly,,2024-08-18,active
4,prod_professional_mo,2024/09/19,USD,Professional,cust_00219,sub_00219,4004.2706,monthly,,2024-08-19,active
3,prod_business_mo,2024-08-31,USD,Business,cust_00220,sub_00220,6253.5594,monthly,LAUNCH20,08/01/2023,active
4,prod_starter_mo,2024-09-01,USD,Starter,cust_00221,sub_00221,1207.0289,monthly,,08/01/2024,active
4,prod_growth_mo,2024-09-02,USD,Growth,cust_00222,sub_00222,1915.9189,monthly,,08/02/2024,active
8,prod_professional_mo,2024/09/03,USD,Professional,cust_00223,sub_00223,4004.2706,monthly,,08/03/2024,active
11,prod_business_mo,04/09/2024,USD,Business,cust_00224,sub_00224,7816.9492,monthly,,2024-08-04,active
3,prod_starter_mo,09/05/2024,USD,Starter,cust_00225,sub_00225,1207.0289,monthly,,2024/08/05,active
7,prod_growth_mo,2024-09-06,USD,Growth,cust_00226,sub_00226,1915.9189,monthly,,06/08/2024,active
10,prod_professional_mo,09/07/2024,USD,Professional,cust_00227,sub_00227,4004.2706,monthly,,2024/08/07,active
12,prod_business_mo,08/09/2024,USD,Business,cust_00228,sub_00228,7816.9492,monthly,,2024-08-08,active
10,prod_starter_mo,2024-09-09,USD,Starter,cust_00229,sub_00229,1207.0289,monthly,,2024/08/09,active
4,prod_growth_mo,10/09/2024,USD,Growth,cust_00230,sub_00230,1915.9189,monthly,,2024/08/10,active
6,prod_professional_mo,2024/09/11,USD,Professional,cust_00231,sub_00231,4004.2706,monthly,,11/08/2024,active
5,prod_business_mo,2024-09-12,USD,Business,cust_00232,sub_00232,6644.4068,monthly,,01/06/2022,active
9,prod_starter_mo,2024-09-13,USD,Starter,cust_00233,sub_00233,1207.0289,monthly,,08/13/2024,active
6,prod_growth_mo,2024-09-14,USD,Growth,cust_00234,sub_00234,1915.9189,monthly,,14/08/2024,active
6,prod_professional_mo,2024-09-15,USD,Professional,cust_00235,sub_00235,4004.2706,monthly,,2024/08/15,active
5,prod_business_mo,2024-09-16,USD,Business,cust_00236,sub_00236,7816.9492,monthly,,2024-08-16,active
11,prod_starter_mo,2024-09-17,USD,Starter,cust_00237,sub_00237,1207.0289,monthly,,2024-08-17,active
8,prod_growth_mo,18/09/2024,USD,Growth,cust_00238,sub_00238,1915.9189,monthly,,18/08/2024,active
12,prod_professional_mo,2024/09/19,USD,Professional,cust_00239,sub_00239,4004.2706,monthly,,19/08/2024,active
5,prod_business_mo,2024/08/31,USD,Business,cust_00240,sub_00240,7816.9492,monthly,,07/31/2024,active
3,prod_starter_mo,01/09/2024,USD,Starter,cust_00241,sub_00241,1207.0289,monthly,,01/08/2024,active
5,prod_growth_mo,2024/09/02,USD,Growth,cust_00242,sub_00242,1915.9189,monthly,,08/02/2024,active
10,prod_professional_mo,2024/09/03,USD,Professional,cust_00243,sub_00243,4004.2706,monthly,,08/03/2024,active
11,prod_business_mo,2024-09-04,USD,Business,cust_00244,sub_00244,7816.9492,monthly,,04/08/2024,active
12,prod_starter_mo,2024-09-05,USD,Starter,cust_00245,sub_00245,1207.0289,monthly,,2024/08/05,active
